mean_fit_time	mean_score_time	mean_test_accuracy	mean_test_balanced_accuracy	mean_test_primary	param_estimator__alpha	param_estimator__binarize	param_estimator__fit_prior	params	rank_test_accuracy	rank_test_balanced_accuracy	rank_test_primary	split0_test_accuracy	split0_test_balanced_accuracy	split0_test_primary	split1_test_accuracy	split1_test_balanced_accuracy	split1_test_primary	split2_test_accuracy	split2_test_balanced_accuracy	split2_test_primary	split3_test_accuracy	split3_test_balanced_accuracy	split3_test_primary	split4_test_accuracy	split4_test_balanced_accuracy	split4_test_primary	split5_test_accuracy	split5_test_balanced_accuracy	split5_test_primary	split6_test_accuracy	split6_test_balanced_accuracy	split6_test_primary	split7_test_accuracy	split7_test_balanced_accuracy	split7_test_primary	split8_test_accuracy	split8_test_balanced_accuracy	split8_test_primary	split9_test_accuracy	split9_test_balanced_accuracy	split9_test_primary	std_fit_time	std_score_time	std_test_accuracy	std_test_balanced_accuracy	std_test_primary
0.008234953880310059	0.003392314910888672	0.115	0.08	0.0475765788649422	0.0	0.0	True	{u'estimator__alpha': 0.0, u'estimator__fit_prior': True, u'estimator__binarize': 0.0}	101	33	101	0.115	0.0	0.0527056277056277	0.11	0.1	0.03748079877112135	0.11	0.1	0.03721936977750931	0.115	0.1	0.045620969419596424	0.125	0.1	0.061915543575920926	0.125	0.1	0.06488243537491425	0.105	0.1	0.027524088814411395	0.11	0.0	0.04658090724441435	0.115	0.1	0.04634792238432278	0.12	0.1	0.05548812558158352	0.002703716059495496	0.0008648516961771404	0.006324555320336759	0.04	0.011007372856510394
0.008933353424072265	0.004051494598388672	0.115	0.08	0.0475765788649422	0.0	0.0	False	{u'estimator__alpha': 0.0, u'estimator__fit_prior': False, u'estimator__binarize': 0.0}	101	33	101	0.115	0.0	0.0527056277056277	0.11	0.1	0.03748079877112135	0.11	0.1	0.03721936977750931	0.115	0.1	0.045620969419596424	0.125	0.1	0.061915543575920926	0.125	0.1	0.06488243537491425	0.105	0.1	0.027524088814411395	0.11	0.0	0.04658090724441435	0.115	0.1	0.04634792238432278	0.12	0.1	0.05548812558158352	0.002642145482997127	0.0015661852739182257	0.006324555320336759	0.04	0.011007372856510394
0.0066365480422973635	0.0031433820724487303	0.247	0.01	0.23666462267434932	0.0	0.1	True	{u'estimator__alpha': 0.0, u'estimator__fit_prior': True, u'estimator__binarize': 0.1}	77	69	81	0.27	0.0	0.2810794861245673	0.22	0.0	0.20769521963956997	0.235	0.0	0.22463067121487912	0.255	0.0	0.24893219096177638	0.24	0.0	0.22121488481584511	0.225	0.0	0.202790786678621	0.23	0.0	0.21160180010109886	0.25	0.0	0.23673021769544475	0.265	0.1	0.25516971533974686	0.28	0.0	0.27680125417194384	0.0008890855852907312	9.932319130465461e-05	0.019261360284258233	0.030000000000000002	0.026598653748722383
0.0062888145446777345	0.0031008243560791014	0.247	0.01	0.23666462267434932	0.0	0.1	False	{u'estimator__alpha': 0.0, u'estimator__fit_prior': False, u'estimator__binarize': 0.1}	77	69	81	0.27	0.0	0.2810794861245673	0.22	0.0	0.20769521963956997	0.235	0.0	0.22463067121487912	0.255	0.0	0.24893219096177638	0.24	0.0	0.22121488481584511	0.225	0.0	0.202790786678621	0.23	0.0	0.21160180010109886	0.25	0.0	0.23673021769544475	0.265	0.1	0.25516971533974686	0.28	0.0	0.27680125417194384	8.476857158560153e-05	6.428481169616609e-05	0.019261360284258233	0.030000000000000002	0.026598653748722383
0.006611299514770508	0.003336596488952637	0.721	0.0	0.7204721003364342	0.0	0.25	True	{u'estimator__alpha': 0.0, u'estimator__fit_prior': True, u'estimator__binarize': 0.25}	31	99	31	0.755	0.0	0.7573281673306255	0.735	0.0	0.7364032681220901	0.725	0.0	0.722934171122057	0.745	0.0	0.747406190300927	0.73	0.0	0.7287511816978635	0.73	0.0	0.7311354960178865	0.715	0.0	0.7055830690717112	0.72	0.0	0.7190791492219715	0.7	0.0	0.7002272946061943	0.655	0.0	0.6558730158730158	0.00012792976664106637	0.00020321986430753213	0.026343879744638976	0.0	0.02707849222000447
0.0066747903823852536	0.003213310241699219	0.721	0.0	0.7204721003364342	0.0	0.25	False	{u'estimator__alpha': 0.0, u'estimator__fit_prior': False, u'estimator__binarize': 0.25}	31	99	31	0.755	0.0	0.7573281673306255	0.735	0.0	0.7364032681220901	0.725	0.0	0.722934171122057	0.745	0.0	0.747406190300927	0.73	0.0	0.7287511816978635	0.73	0.0	0.7311354960178865	0.715	0.0	0.7055830690717112	0.72	0.0	0.7190791492219715	0.7	0.0	0.7002272946061943	0.655	0.0	0.6558730158730158	0.00018239608611829707	6.62470123023527e-05	0.026343879744638976	0.0	0.02707849222000447
0.007764124870300293	0.0036761283874511717	0.8595	0.09	0.8590838260455442	0.0	0.5	True	{u'estimator__alpha': 0.0, u'estimator__fit_prior': True, u'estimator__binarize': 0.5}	1	21	1	0.885	0.1	0.8856003863225407	0.86	0.1	0.859328378948345	0.825	0.0	0.8253904321908919	0.88	0.1	0.8793159457226387	0.9	0.3	0.8983106075211337	0.845	0.0	0.845142444167335	0.815	0.0	0.8149179095938507	0.865	0.2	0.8636735704116365	0.855	0.0	0.8554432986782151	0.865	0.1	0.8637152868988556	0.00010427619990377863	0.00013109635002406288	0.02484451649760971	0.09433981132056604	0.024468901780093515
0.007766580581665039	0.0036284923553466797	0.8595	0.09	0.8590838260455442	0.0	0.5	False	{u'estimator__alpha': 0.0, u'estimator__fit_prior': False, u'estimator__binarize': 0.5}	1	21	1	0.885	0.1	0.8856003863225407	0.86	0.1	0.859328378948345	0.825	0.0	0.8253904321908919	0.88	0.1	0.8793159457226387	0.9	0.3	0.8983106075211337	0.845	0.0	0.845142444167335	0.815	0.0	0.8149179095938507	0.865	0.2	0.8636735704116365	0.855	0.0	0.8554432986782151	0.865	0.1	0.8637152868988556	0.00025096314271786654	7.356184936949236e-05	0.02484451649760971	0.09433981132056604	0.024468901780093515
0.006617450714111328	0.0032139062881469727	0.667	0.0	0.6637736530435048	0.0	0.75	True	{u'estimator__alpha': 0.0, u'estimator__fit_prior': True, u'estimator__binarize': 0.75}	45	99	47	0.63	0.0	0.6282064371627616	0.685	0.0	0.6745222769475948	0.665	0.0	0.6637852146983441	0.66	0.0	0.657763553026711	0.695	0.0	0.6929987971940854	0.665	0.0	0.6609484088752381	0.635	0.0	0.6344359979763897	0.655	0.0	0.6528939925175343	0.665	0.0	0.6581792722873105	0.715	0.0	0.7140025797490774	0.00015873242928902455	7.24535546751908e-05	0.02451530134426251	0.0	0.024108254695211107
0.009015130996704101	0.0037317991256713865	0.667	0.0	0.6637736530435048	0.0	0.75	False	{u'estimator__alpha': 0.0, u'estimator__fit_prior': False, u'estimator__binarize': 0.75}	45	99	47	0.63	0.0	0.6282064371627616	0.685	0.0	0.6745222769475948	0.665	0.0	0.6637852146983441	0.66	0.0	0.657763553026711	0.695	0.0	0.6929987971940854	0.665	0.0	0.6609484088752381	0.635	0.0	0.6344359979763897	0.655	0.0	0.6528939925175343	0.665	0.0	0.6581792722873105	0.715	0.0	0.7140025797490774	0.003275086689990185	0.001311238833761123	0.02451530134426251	0.0	0.024108254695211107
