mean_fit_time	mean_score_time	mean_test_accuracy	mean_test_balanced_accuracy	mean_test_primary	param_estimator__n_neighbors	param_estimator__weights	params	rank_test_accuracy	rank_test_balanced_accuracy	rank_test_primary	split0_test_accuracy	split0_test_balanced_accuracy	split0_test_primary	split1_test_accuracy	split1_test_balanced_accuracy	split1_test_primary	split2_test_accuracy	split2_test_balanced_accuracy	split2_test_primary	split3_test_accuracy	split3_test_balanced_accuracy	split3_test_primary	split4_test_accuracy	split4_test_balanced_accuracy	split4_test_primary	split5_test_accuracy	split5_test_balanced_accuracy	split5_test_primary	split6_test_accuracy	split6_test_balanced_accuracy	split6_test_primary	split7_test_accuracy	split7_test_balanced_accuracy	split7_test_primary	split8_test_accuracy	split8_test_balanced_accuracy	split8_test_primary	split9_test_accuracy	split9_test_balanced_accuracy	split9_test_primary	std_fit_time	std_score_time	std_test_accuracy	std_test_balanced_accuracy	std_test_primary
0.001630258560180664	0.00413362979888916	0.7524752475247525	0.3584158415841584	0.7336402761155236	1	uniform	{u'estimator__n_neighbors': 1, u'estimator__weights': 'uniform'}	1	1	1	0.7391304347826086	0.4	0.7645021645021645	0.6956521739130435	0.2	0.7071428571428571	0.6666666666666666	0.2	0.5281318681318681	0.7142857142857143	0.4	0.6747619047619048	0.8	0.4	0.8052747252747252	0.7	0.4	0.7057575757575758	0.85	0.6	0.8492063492063492	0.9444444444444444	0.8	0.9418181818181818	0.7222222222222222	0.0	0.6777777777777778	0.7222222222222222	0.2	0.7071794871794872	6.932651465610703e-05	0.00010450096289274455	0.07867614188869672	0.20742042574532274	0.10511452845656764
0.0015873908996582031	0.004966211318969726	0.7524752475247525	0.3584158415841584	0.7336402761155236	1	distance	{u'estimator__n_neighbors': 1, u'estimator__weights': 'distance'}	1	1	1	0.7391304347826086	0.4	0.7645021645021645	0.6956521739130435	0.2	0.7071428571428571	0.6666666666666666	0.2	0.5281318681318681	0.7142857142857143	0.4	0.6747619047619048	0.8	0.4	0.8052747252747252	0.7	0.4	0.7057575757575758	0.85	0.6	0.8492063492063492	0.9444444444444444	0.8	0.9418181818181818	0.7222222222222222	0.0	0.6777777777777778	0.7222222222222222	0.2	0.7071794871794872	7.818079307539301e-05	0.0021408289027367907	0.07867614188869672	0.20742042574532274	0.10511452845656764
0.0015927791595458985	0.004238629341125488	0.6831683168316832	0.1920792079207921	0.6527626498913628	2	uniform	{u'estimator__n_neighbors': 2, u'estimator__weights': 'uniform'}	9	20	10	0.6086956521739131	0.2	0.5928571428571427	0.7391304347826086	0.0	0.7487878787878788	0.6190476190476191	0.0	0.5000000000000001	0.6190476190476191	0.2	0.5580952380952382	0.65	0.2	0.6200000000000001	0.7	0.2	0.6589010989010989	0.65	0.2	0.6773626373626372	0.8333333333333334	0.4	0.8111111111111111	0.7222222222222222	0.2	0.6492063492063492	0.7222222222222222	0.4	0.7427350427350428	3.819525166975105e-05	0.00012169036791407755	0.06610615045990317	0.1256138734824056	0.08912343124430849
0.0016163349151611327	0.004381036758422852	0.7524752475247525	0.3584158415841584	0.7336402761155236	2	distance	{u'estimator__n_neighbors': 2, u'estimator__weights': 'distance'}	1	1	1	0.7391304347826086	0.4	0.7645021645021645	0.6956521739130435	0.2	0.7071428571428571	0.6666666666666666	0.2	0.5281318681318681	0.7142857142857143	0.4	0.6747619047619048	0.8	0.4	0.8052747252747252	0.7	0.4	0.7057575757575758	0.85	0.6	0.8492063492063492	0.9444444444444444	0.8	0.9418181818181818	0.7222222222222222	0.0	0.6777777777777778	0.7222222222222222	0.2	0.7071794871794872	3.3342512239615254e-05	8.01384535452915e-05	0.07867614188869672	0.20742042574532274	0.10511452845656764
0.0016237020492553711	0.004457449913024903	0.6485148514851485	0.1405940594059406	0.622051216110622	3	uniform	{u'estimator__n_neighbors': 3, u'estimator__weights': 'uniform'}	16	32	15	0.6956521739130435	0.2	0.6624175824175824	0.6956521739130435	0.0	0.7161904761904762	0.5238095238095238	0.0	0.35641025641025637	0.7142857142857143	0.2	0.6805128205128206	0.65	0.2	0.6200000000000001	0.7	0.4	0.7166666666666666	0.6	0.2	0.6064535464535463	0.7222222222222222	0.2	0.7066666666666667	0.5555555555555556	0.0	0.5609523809523809	0.6111111111111112	0.0	0.582857142857143	2.2729194803352718e-05	0.00047828114085085143	0.06668535411220139	0.12756533392797156	0.10442350320139637
0.0016015291213989258	0.005093193054199219	0.7029702970297029	0.2376237623762376	0.6857566635784458	3	distance	{u'estimator__n_neighbors': 3, u'estimator__weights': 'distance'}	5	9	4	0.7391304347826086	0.4	0.7267032967032967	0.7391304347826086	0.0	0.7476923076923077	0.5714285714285714	0.0	0.38571428571428573	0.8095238095238095	0.4	0.8305128205128206	0.65	0.2	0.6200000000000001	0.65	0.4	0.6843434343434344	0.75	0.2	0.7671794871794871	0.8333333333333334	0.6	0.8272727272727274	0.6111111111111112	0.0	0.5987878787878788	0.6666666666666666	0.2	0.665079365079365	8.639343541006217e-05	0.001711705031391392	0.08022007000734753	0.19440260619841396	0.12548521573315574
0.0017072677612304688	0.004347658157348633	0.599009900990099	0.14554455445544556	0.5683454169592783	4	uniform	{u'estimator__n_neighbors': 4, u'estimator__weights': 'uniform'}	26	31	24	0.6521739130434783	0.4	0.6628571428571428	0.5652173913043478	0.0	0.5964102564102564	0.5238095238095238	0.0	0.3402197802197802	0.6666666666666666	0.2	0.6676190476190478	0.7	0.2	0.65	0.6	0.4	0.6138528138528139	0.65	0.2	0.6452813852813852	0.5	0.0	0.5433333333333333	0.6111111111111112	0.0	0.5264069264069263	0.5	0.0	0.4022222222222222	0.00040499866972599786	0.00032657854635031704	0.06740218729987249	0.15797277148215128	0.10800177089263893
0.0016616344451904296	0.004836130142211914	0.7079207920792079	0.2594059405940594	0.6802305120621952	4	distance	{u'estimator__n_neighbors': 4, u'estimator__weights': 'distance'}	4	5	5	0.6956521739130435	0.4	0.6966666666666665	0.782608695652174	0.2	0.788997668997669	0.5714285714285714	0.0	0.38571428571428573	0.7142857142857143	0.2	0.7266666666666668	0.7	0.2	0.6771428571428573	0.65	0.4	0.6725974025974025	0.8	0.4	0.8193006993006993	0.8333333333333334	0.6	0.8272727272727274	0.6111111111111112	0.0	0.49307359307359305	0.7222222222222222	0.2	0.7071794871794872	0.00015488134809414457	0.0007550126225226861	0.07762749715569418	0.17585897692949753	0.13286730833795896
0.0015506744384765625	0.0043854951858520504	0.5891089108910891	0.11584158415841585	0.5481140292439068	5	uniform	{u'estimator__n_neighbors': 5, u'estimator__weights': 'uniform'}	29	43	27	0.5652173913043478	0.0	0.5697435897435896	0.6521739130434783	0.0	0.6592673992673992	0.5238095238095238	0.0	0.34095238095238095	0.6190476190476191	0.2	0.6697435897435897	0.7	0.0	0.6789542483660131	0.55	0.2	0.5276190476190477	0.65	0.4	0.6431746031746032	0.5555555555555556	0.2	0.5	0.4444444444444444	0.0	0.36623376623376624	0.6111111111111112	0.2	0.48	2.7604300362677254e-05	0.0002741593569753917	0.06927243995813656	0.1329279364564114	0.11686866163382294
0.0021115541458129883	0.0068285465240478516	0.6782178217821783	0.2396039603960396	0.663444237280871	5	distance	{u'estimator__n_neighbors': 5, u'estimator__weights': 'distance'}	10	8	7	0.6956521739130435	0.4	0.7097619047619047	0.7391304347826086	0.0	0.7496037296037296	0.5714285714285714	0.0	0.38571428571428573	0.6666666666666666	0.4	0.7330769230769232	0.75	0.2	0.7544444444444445	0.6	0.4	0.6343434343434343	0.75	0.4	0.7671794871794871	0.7777777777777778	0.4	0.7751515151515151	0.5	0.0	0.417979797979798	0.7222222222222222	0.2	0.6866666666666668	0.0012680547154365171	0.003585656104200612	0.08466780040715081	0.17580322478754878	0.1345760842225348
